Barrio,Pob,Masc,E_media,Porc_men18,Porc_may18,Envej,Ind_dep,Porc_nacionalidad_extra,Porc_nacidos_ciudad,Porc_fueraCV,Porc_nacida_extranj,Porc_nacida_fuera_UE,Porc_18añosprimaria_menos,Porc_25anos_bach_mas,Rentamedia_ud_consumo,Rentamedia_hogar,Gini_renta,Porc_ingresos_salarios,Porc_ingresos_pensiones_prestaciones,Porc_otros_ingresos,Porc_ingresos_ud_consumo_debajo_60,Porc_ingresos_ud_consumo_debajo_10k,Ind_equipamiento,ind_demografico,Ind_socioecon,Ind_vulnerabilidad,Porc_parados,Muni_electorado,Muni_votos_leidos,Muni_porc_abstención,Muni_nulos,Muni_blanco,Muni_votos_candidaturas,Muni_PP,Muni_Compromis,Muni_PSOE,Muni_VOX,Muni_Podemos,Muni_Cs,Muni_Otros,Auto_electorado,Auto_votos_leidos,Auto_porc_abstención,Auto_nulo,Auto_blanco,Auto_votos_candiaturas,Auto_PP,Auro_PSOE,Auro_Compromís,Auto_VOX,Auto_Podemos,Auto_Cs,Auto_Otros,Gene_electorado,Gene_votos_leidos,Gene_porc_abs,Gene_nulos,Gene_validos,Gene_blanco,Gene_votos_candidaturas,Gene_PP,Gene_PSOE,Gene_Compromis,Gene_VOX,Gene_Otros
7.5. la Llum,4972,"90,72","46,32","13,50","23,53","203,83","35,08","12,49","50,62","21,04","17,94","16,07","16,69","45,54",20379,35355,"27,8","58,6","32,6","8,9","16,4","14,2","3,06","3,14","2,74","2,98","9,90","3802,00","2740,00","0,30","23,00","24,00","2693,00","910,00","631,00","608,00","368,00","53,00","64,00","59,00","3792,00","2735,00","27,90%","24,00","23,00","2688,00","899,00","792,00","431,00","384,00","80,00","56,00","46,00","3799,00","2936,00","22,70%","31,00","2905,00","25,00","2880,00","993,00","957,00","466,00","427,00","37,00"
8.1. Patraix,24313,"85,67","46,61","13,83","23,19","195,36","35,06","14,05","53,03","15,80","20,37","17,65","13,95","58,71",22155,36531,"30,4","58,4","30,8","10,9","18,4","16,0","3,32","2,80","3,15","3,09","8,86","18232,00","13559,00","0,30","109,00","115,00","13335,00","4847,00","3629,00","2386,00","1587,00","324,00","262,00","300,00","18108,00","13501,00","25,40%","110,00","119,00","13272,00","4732,00","3253,00","2428,00","1677,00","669,00","229,00","284,00","18140,00","14088,00","22,30%","114,00","13974,00","103,00","13871,00","5078,00","4165,00","2678,00","1769,00","181,00"
8.2. Sant Isidre,10366,"95,29","43,71","14,95","17,86","138,24","30,77","8,30","59,20","18,53","13,26","11,07","17,00","47,35",20657,35435,"25,5","67,3","25,7","7,0","14,3","12,1","3,07","3,73","2,60","3,13","8,86","8145,00","5963,00","0,30","57,00","72,00","5834,00","1699,00","1496,00","1394,00","812,00","124,00","168,00","141,00","8110,00","5937,00","26,80%","60,00","74,00","5803,00","1683,00","1730,00","1044,00","824,00","224,00","163,00","135,00","8111,00","6247,00","23,00%","51,00","6196,00","69,00","6127,00","1901,00","2146,00","1098,00","867,00","115,00"
8.3. Vara de Quart,10041,"87,58","48,36","12,24","28,49","267,88","39,13","10,46","52,34","21,34","15,40","13,39","15,96","50,36",21602,36363,"27,3","52,6","37,7","9,7","15,4","13,5","3,00","3,16","2,89","3,02","9,49","8007,00","5954,00","0,30","61,00","59,00","5834,00","1984,00","1476,00","1318,00","721,00","147,00","87,00","101,00","7973,00","5938,00","25,50%","62,00","61,00","5815,00","1884,00","1611,00","932,00","760,00","278,00","80,00","270,00","7971,00","6220,00","22,00%","55,00","6165,00","47,00","6118,00","2049,00","2064,00","1101,00","830,00","74,00"
8.4. Safranar,9940,"92,82","43,74","17,52","19,28","128,42","34,29","7,49","60,86","17,55","11,42","9,67","11,43","57,64",23203,39639,"27,2","66,9","24,4","8,7","12,7","11,0","3,06","3,47","3,15","3,23","7,52","7643,00","5934,00","0,20","54,00","78,00","5802,00","1923,00","1643,00","1159,00","659,00","121,00","174,00","123,00","7601,00","5906,00","22,30%","51,00","94,00","5761,00","1865,00","1526,00","1166,00","687,00","247,00","154,00","116,00","7641,00","6177,00","19,20%","38,00","6139,00","67,00","6072,00","2035,00","1984,00","1170,00","798,00","85,00"
8.5. Favara,3673,"92,61","44,59","14,46","18,35","147,16","30,82","16,31","51,40","15,52","24,26","21,59","18,81","47,56",19640,33039,"29,4","64,6","27,4","8,0","21,6","18,2","2,78","3,50","2,63","2,97","9,23","2653,00","1911,00","0,30","18,00","15,00","1878,00","601,00","548,00","375,00","220,00","47,00","40,00","47,00","2643,00","1907,00","27,80%","19,00","16,00","1872,00","593,00","484,00","390,00","230,00","80,00","47,00","48,00","2647,00","2001,00","24,40%","18,00","1983,00","8,00","1975,00","604,00","657,00","411,00","272,00","31,00"
9.1. la Raiosa,15555,"91,09","45,06","13,85","20,50","170,57","32,51","21,86","46,50","14,18","29,51","26,60","16,48","54,06",19635,32891,"32,1","60,0","29,6","10,4","25,1","22,0","2,94","2,78","2,83","2,85","9,32","10584,00","7470,00","0,30","57,00","69,00","7344,00","2620,00","1884,00","1334,00","1036,00","187,00","133,00","150,00","9711,00","6853,00","29,40%","55,00","64,00","6734,00","2376,00","1615,00","1220,00","1003,00","283,00","110,00","127,00","10518,00","7918,00","24,70%","83,00","7835,00","66,00","7769,00","2795,00","2257,00","1450,00","1160,00","107,00"
9.2. l'Hort de Senabre,16968,"94,12","45,97","13,81","22,60","192,52","34,34","15,62","51,38","17,50","22,65","20,23","22,60","41,72",18859,32396,"28,6","58,6","33,5","7,9","21,6","18,6","2,89","2,97","2,46","2,77","9,99","12456,00","8899,00","0,30","82,00","77,00","8740,00","2686,00","2272,00","2116,00","1041,00","214,00","184,00","227,00","12388,00","8871,00","28,40%","75,00","92,00","8704,00","2640,00","2644,00","1578,00","1064,00","376,00","180,00","222,00","12357,00","9299,00","24,70%","78,00","9221,00","77,00","9144,00","2852,00","3393,00","1598,00","1167,00","134,00"
9.3. la Creu Coberta,6046,"91,81","45,84","13,41","22,56","186,85","34,63","16,03","50,10","17,25","23,12","19,95","19,41","45,92",19618,33745,"29,0","57,9","34,8","7,4","20,6","17,9","2,70","3,30","2,56","2,85","10,56","4470,00","3221,00","0,30","21,00","32,00","3168,00","942,00","884,00","686,00","446,00","69,00","42,00","99,00","4444,00","3216,00","27,60%","27,00","33,00","3156,00","934,00","886,00","604,00","457,00","127,00","53,00","95,00","4447,00","3372,00","24,20%","30,00","3342,00","33,00","3309,00","1028,00","1179,00","574,00","470,00","58,00"
9.4. Sant Marcel?li,10134,"92,62","46,45","13,82","24,12","204,52","35,91","16,74","49,44","19,44","23,14","20,55","23,76","36,35",17324,29443,"28,4","58,3","35,5","6,2","24,8","21,4","3,02","3,10","2,19","2,77","10,37","7402,00","5134,00","0,30","40,00","57,00","5037,00","1371,00","1249,00","1378,00","711,00","123,00","82,00","123,00","7373,00","5117,00","30,60%","45,00","55,00","5017,00","1345,00","1646,00","915,00","733,00","189,00","75,00","114,00","7402,00","5403,00","27,00%","43,00","5360,00","46,00","5314,00","1460,00","2024,00","937,00","785,00","108,00"
9.5. Cami Real,3882,"97,56","41,40","19,76","14,35","82,52","31,74","12,93","57,08","15,15","19,58","16,77","18,88","43,44",18281,30754,"29,0","69,7","23,6","6,8","23,3","19,8","2,75","3,92","2,38","3,02","9,58","2728,00","1872,00","0,30","9,00","23,00","1840,00","581,00","399,00","384,00","328,00","48,00","46,00","54,00","2718,00","1867,00","31,30%","5,00","23,00","1839,00","564,00","460,00","325,00","336,00","72,00","40,00","42,00","2722,00","2006,00","26,30%","15,00","1991,00","15,00","1976,00","639,00","611,00","324,00","370,00","32,00"
10.1. Mont-Olivet,19407,"87,15","46,02","14,62","23,22","180,46","36,08","19,81","50,78","12,66","28,49","24,41","13,53","54,94",19832,33183,"31,7","55,6","32,0","12,4","24,6","21,9","3,14","2,51","2,83","2,83","10,53","13523,00","9259,00","0,30","55,00","80,00","9124,00","3674,00","2084,00","1572,00","1264,00","183,00","151,00","196,00","13349,00","9184,00","31,20%","54,00","70,00","9060,00","3542,00","2043,00","1436,00","1327,00","372,00","160,00","180,00","13339,00","9782,00","26,70%","76,00","9706,00","56,00","9650,00","3757,00","2691,00","1598,00","1466,00","138,00"
10.2. en Corts,12063,"92,55","45,07","14,73","20,46","161,62","33,12","20,93","49,81","12,81","29,62","25,21","16,49","50,29",18765,31079,"32,1","60,2","29,2","10,6","25,9","22,8","2,91","2,86","2,58","2,78","10,08","8271,00","5541,00","0,30","41,00","33,00","5467,00","1991,00","1394,00","1052,00","700,00","123,00","93,00","114,00","7654,00","5150,00","32,70%","36,00","35,00","5079,00","1841,00","1205,00","936,00","695,00","211,00","82,00","109,00","8162,00","5833,00","28,50%","57,00","5776,00","44,00","5732,00","2039,00","1754,00","1056,00","779,00","104,00"
10.3. Malilla,23229,"90,87","44,90","16,34","21,81","155,72","35,82","10,77","57,52","17,31","16,69","14,32","14,18","50,87",21109,35447,"27,5","62,3","28,6","9,2","15,4","13,1","2,82","3,26","2,81","2,96","8,84","17660,00","12981,00","0,30","105,00","128,00","12748,00","4188,00","3486,00","2522,00","1672,00","305,00","291,00","284,00","16597,00","12243,00","26,20%","99,00","124,00","12020,00","3872,00","3240,00","2252,00","1631,00","504,00","267,00","254,00","17667,00","13692,00","22,50%","125,00","13567,00","85,00","13482,00","4581,00","4236,00","2541,00","1899,00","225,00"
10.4. Fonteta de Sant Lluis,3088,"97,19","44,40","15,77","21,15","152,93","34,97","15,38","58,10","12,82","22,15","19,49","26,41","33,38",16712,28870,"30,4","60,7","31,1","8,2","29,5","26,3","2,42","3,53","2,13","2,70","11,97","2221,00","1375,00","0,40","12,00","8,00","1355,00","488,00","257,00","279,00","210,00","39,00","34,00","48,00","2207,00","1370,00","37,90%","9,00","9,00","1352,00","475,00","333,00","191,00","222,00","54,00","27,00","50,00","2205,00","1486,00","32,60%","14,00","1472,00","7,00","1465,00","515,00","446,00","220,00","256,00","28,00"
10.5. na Rovella,7490,"94,95","45,45","15,23","22,18","168,29","35,35","18,36","50,12","17,54","25,13","21,96","34,26","29,38",14672,25852,"31,0","53,6","41,8","4,6","37,3","33,1","2,95","2,91","1,70","2,52","17,79","5244,00","2790,00","0,50","24,00","26,00","2740,00","835,00","562,00","678,00","500,00","80,00","28,00","57,00","5222,00","2783,00","46,70%","26,00","28,00","2729,00","806,00","789,00","410,00","527,00","115,00","23,00","59,00","5198,00","3135,00","39,70%","31,00","3104,00","20,00","3084,00","850,00","1107,00","475,00","589,00","63,00"
10.6. la Punta,3015,"95,40","42,20","19,00","17,45","101,94","34,56","17,25","62,35","11,08","21,00","14,76","23,55","44,01",20620,33864,"33,4","64,2","22,7","13,2","23,0","20,7","1,73","3,33","2,49","2,52","12,46","2065,00","1382,00","0,30","5,00","9,00","1368,00","487,00","329,00","239,00","229,00","26,00","21,00","37,00","2046,00","1380,00","32,60%","5,00","10,00","1365,00","488,00","307,00","228,00","230,00","53,00","20,00","39,00","2061,00","1504,00","27,00%","13,00","1491,00","11,00","1480,00","543,00","404,00","250,00","262,00","21,00"
10.7. Ciutat de les Arts i de les Ciencies,8280,"97,71","40,93","19,30","13,50","81,25","30,12","18,65","49,31","15,82","23,99","20,25","5,30","79,14",29534,50084,"32,2","66,6","15,8","17,6","12,9","11,5","2,94","3,51","3,82","3,42","5,88","5615,00","4356,00","0,20","35,00","45,00","4276,00","1951,00","881,00","583,00","570,00","67,00","155,00","69,00","5546,00","4313,00","22,20%","31,00","53,00","4229,00","1911,00","816,00","546,00","593,00","158,00","139,00","66,00","5570,00","4476,00","19,60%","33,00","4443,00","31,00","4412,00","2058,00","971,00","604,00","711,00","68,00"
11.1. el Grau,9718,"93,05","43,39","15,90","17,76","129,68","31,46","21,56","52,16","13,55","27,92","21,85","17,56","50,18",19621,33464,"31,9","62,5","26,4","11,0","24,8","21,7","3,05","3,19","2,59","2,94","11,13","6483,00","4386,00","0,30","36,00","41,00","4309,00","1298,00","1088,00","1088,00","524,00","120,00","63,00","128,00","6427,00","4348,00","32,30%","33,00","37,00","4278,00","1260,00","1262,00","820,00","543,00","186,00","76,00","131,00","6440,00","4643,00","27,90%","33,00","4610,00","34,00","4576,00","1369,00","1604,00","882,00","637,00","84,00"
11.2. el Cabanyal- el Canyamelar,19252,"90,18","45,11","14,36","20,75","166,49","33,21","18,39","61,12","10,11","22,42","15,61","22,29","45,23",19086,30877,"33,2","59,4","30,8","9,8","26,7","23,8","3,11","2,98","2,39","2,83","13,13","13612,00","8895,00","0,30","62,00","75,00","8758,00","2515,00","2369,00","2134,00","1076,00","247,00","157,00","260,00","13419,00","8798,00","34,40%","59,00","72,00","8667,00","2523,00","2429,00","1793,00","1081,00","443,00","131,00","267,00","13406,00","9432,00","29,60%","80,00","9352,00","60,00","9292,00","2692,00","3173,00","2003,00","1253,00","171,00"
11.3. la Malva-rosa,12925,"92,36","46,18","14,31","23,85","192,50","36,23","16,39","57,41","16,05","20,44","15,91","25,05","38,00",18493,30556,"30,7","56,2","35,5","8,3","24,7","21,8","3,00","3,09","2,21","2,76","12,71","9415,00","6200,00","0,30","61,00","76,00","6063,00","1609,00","1470,00","1659,00","785,00","295,00","97,00","148,00","9352,00","6174,00","34,00%","62,00","76,00","6036,00","1573,00","1891,00","1095,00","806,00","417,00","103,00","151,00","9359,00","6629,00","29,20%","45,00","6584,00","38,00","6546,00","1724,00","2442,00","1368,00","896,00","116,00"
11.4. Betero,7834,"90,42","45,09","14,22","21,20","173,93","33,39","12,16","60,81","15,41","16,21","13,47","18,44","50,34",21826,37455,"29,4","62,8","29,3","7,9","19,7","17,6","2,88","3,34","2,72","2,98","10,00","5999,00","4253,00","0,30","24,00","41,00","4188,00","1247,00","1150,00","1073,00","393,00","123,00","103,00","99,00","5958,00","4228,00","29,00%","24,00","41,00","4163,00","1224,00","1233,00","867,00","434,00","223,00","97,00","85,00","5969,00","4533,00","24,10%","35,00","4498,00","31,00","4467,00","1347,00","1627,00","930,00","500,00","63,00"
11.5. Natzaret,6168,"95,31","42,87","17,87","18,82","120,19","34,48","21,58","56,63","14,12","25,06","20,51","32,29","26,16",15107,26450,"32,2","60,7","34,7","4,7","37,4","33,0","3,09","3,11","1,66","2,62","16,22","4050,00","2369,00","0,40","23,00","22,00","2324,00","673,00","443,00","594,00","454,00","46,00","32,00","82,00","3595,00","2103,00","41,50%","22,00","20,00","2061,00","585,00","577,00","340,00","410,00","62,00","29,00","58,00","4013,00","2551,00","36,40%","34,00","2517,00","9,00","2508,00","720,00","865,00","396,00","469,00","58,00"
12.1. Aiora,24604,"91,32","44,92","14,56","20,51","162,93","33,10","17,39","52,58","16,06","23,77","20,14","19,58","48,09",19768,33498,"30,1","62,6","29,0","8,4","21,6","18,7","3,09","2,94","2,62","2,89","9,21","17560,00","12144,00","0,30","94,00","117,00","11933,00","3560,00","3291,00","2894,00","1314,00","336,00","240,00","298,00","17415,00","12075,00","30,70%","93,00","115,00","11867,00","3458,00","3537,00","2376,00","1407,00","589,00","229,00","271,00","17403,00","12799,00","26,50%","92,00","12707,00","105,00","12602,00","3761,00","4638,00","2511,00","1499,00","193,00"
12.2. Albors,8911,"86,54","44,95","13,71","22,12","184,38","34,12","17,56","49,14","16,36","24,63","19,71","13,04","57,88",21359,36007,"31,4","59,4","29,9","10,8","21,3","18,1","3,21","3,12","3,18","3,17","7,93","6407,00","4653,00","0,30","51,00","39,00","4563,00","1658,00","1148,00","905,00","549,00","98,00","128,00","77,00","5573,00","4072,00","26,90%","37,00","37,00","3998,00","1423,00","1041,00","690,00","515,00","170,00","92,00","67,00","6350,00","4872,00","23,30%","49,00","4823,00","36,00","4787,00","1750,00","1541,00","818,00","623,00","55,00"
12.3. la Creu del Grau,14851,"93,62","44,32","15,26","19,59","149,41","32,70","19,27","48,25","17,89","26,77","22,54","19,39","46,70",18669,31581,"29,8","63,9","28,5","7,6","23,9","20,9","3,47","2,97","2,38","2,94","10,89","10269,00","7016,00","0,30","61,00","69,00","6886,00","2148,00","1660,00","1654,00","866,00","187,00","176,00","195,00","10181,00","6972,00","31,50%","50,00","47,00","6875,00","2105,00","2083,00","1123,00","932,00","301,00","151,00","180,00","10161,00","7400,00","27,20%","57,00","7343,00","55,00","7288,00","2177,00","2695,00","1315,00","974,00","127,00"
12.4. Cami Fondo,4557,"91,39","44,48","15,82","20,56","150,64","34,21","18,81","48,80","16,15","25,54","21,18","15,04","56,80",21193,31366,"33,3","60,4","27,5","12,1","21,8","19,1","2,91","3,04","2,91","2,95","9,90","3157,00","2197,00","0,30","21,00","25,00","2151,00","812,00","511,00","400,00","269,00","43,00","69,00","47,00","2445,00","1694,00","30,70%","15,00","16,00","1663,00","600,00","438,00","275,00","210,00","70,00","39,00","31,00","3124,00","2330,00","25,40%","19,00","2311,00","19,00","2292,00","856,00","677,00","403,00","322,00","34,00"
12.5. Penya-roja,13322,"95,80","40,04","22,89","13,35","68,95","32,72","15,93","51,59","15,72","21,54","17,90","4,98","84,42",35605,62702,"34,6","63,6","12,9","23,5","10,9","10,1","2,86","3,74","4,27","3,62","4,70","8802,00","7003,00","0,20","23,00","66,00","6914,00","3728,00","971,00","831,00","965,00","62,00","273,00","84,00","8692,00","6952,00","20,00%","26,00","61,00","6865,00","3652,00","1115,00","606,00","1047,00","148,00","214,00","83,00","8731,00","7243,00","17,00%","33,00","7210,00","67,00","7143,00","3886,00","1305,00","688,00","1206,00","58,00"
13.1. l'Illa Perduda,8410,"89,93","47,13","13,06","25,15","219,40","36,61","11,52","57,72","17,84","16,17","13,35","21,05","47,91",21447,35338,"29,2","59,9","32,4","7,7","17,5","15,2","3,20","2,96","2,75","2,97","9,38","6534,00","4700,00","0,30","23,00","45,00","4632,00","1399,00","1257,00","1140,00","509,00","107,00","113,00","107,00","6490,00","4679,00","27,90%","22,00","41,00","4616,00","1367,00","1382,00","926,00","538,00","191,00","100,00","112,00","6475,00","4905,00","24,20%","35,00","4870,00","39,00","4831,00","1484,00","1777,00","943,00","566,00","61,00"
13.2. Ciutat Jardi,11674,"88,47","47,91","11,19","28,87","295,61","38,63","13,93","47,72","20,40","20,00","16,72","11,87","65,36",24274,38345,"29,8","52,9","35,4","11,7","15,7","13,9","2,79","2,95","3,29","3,01","8,01","8980,00","6793,00","0,20","48,00","53,00","6692,00","2334,00","1882,00","1364,00","669,00","167,00","160,00","116,00","8923,00","6756,00","24,30%","41,00","44,00","6671,00","2287,00","1821,00","1219,00","734,00","386,00","130,00","94,00","8930,00","7089,00","20,60%","48,00","7041,00","56,00","6985,00","2418,00","2317,00","1325,00","803,00","122,00"
13.3. l'Amistat,7014,"90,96","45,85","12,72","24,41","220,33","35,49","20,27","44,67","17,88","26,79","23,22","17,41","55,88",20582,33233,"32,4","53,7","35,4","11,0","25,0","22,0","3,23","2,74","2,78","2,91","10,31","4951,00","3512,00","0,30","41,00","40,00","3431,00","1244,00","861,00","741,00","351,00","78,00","75,00","81,00","4909,00","3486,00","29,00%","35,00","46,00","3405,00","1197,00","954,00","582,00","380,00","164,00","53,00","75,00","4901,00","3664,00","25,20%","36,00","3628,00","29,00","3599,00","1254,00","1184,00","673,00","436,00","52,00"
13.4. la Bega Baixa,5424,"86,97","46,43","12,87","25,33","230,15","36,34","9,83","53,78","18,77","14,29","11,14","7,24","77,45",28816,46284,"29,9","56,0","29,3","14,7","11,2","9,7","2,92","2,81","3,85","3,19","6,45","4296,00","3387,00","0,20","22,00","19,00","3346,00","1374,00","847,00","508,00","407,00","74,00","79,00","57,00","4271,00","3371,00","21,10%","24,00","30,00","3317,00","1338,00","704,00","550,00","442,00","177,00","58,00","48,00","4281,00","3529,00","17,60%","14,00","3515,00","36,00","3479,00","1402,00","883,00","662,00","486,00","46,00"
13.5. la Carrasca,3297,"88,51","46,39","11,25","24,54","264,38","33,82","11,59","51,84","19,02","16,77","13,50","6,73","78,68",29221,48300,"30,6","56,3","28,2","15,5","11,0","9,6","2,91","3,57","3,79","3,43","5,96","2615,00","2088,00","0,20","4,00","20,00","2064,00","779,00","570,00","377,00","221,00","39,00","49,00","29,00","2600,00","2080,00","20,00%","7,00","28,00","2045,00","767,00","480,00","385,00","236,00","97,00","47,00","33,00","2599,00","2125,00","18,20%","10,00","2115,00","14,00","2101,00","794,00","596,00","436,00","258,00","17,00"
14.1. Benimaclet,23050,"85,74","45,47","13,34","23,37","199,15","35,11","14,67","47,70","19,79","20,23","16,28","15,14","61,76",23317,38017,"30,6","57,4","29,1","13,4","18,2","16,1","3,11","2,96","3,16","3,08","8,35","17218,00","12836,00","0,30","105,00","105,00","12626,00","4313,00","3623,00","2296,00","1414,00","466,00","257,00","257,00","17067,00","12730,00","25,40%","97,00","114,00","12519,00","4198,00","2936,00","2482,00","1513,00","948,00","204,00","238,00","17055,00","13446,00","21,20%","116,00","13330,00","90,00","13240,00","4500,00","3740,00","3104,00","1704,00","192,00"
14.2. Cami de Vera,5267,"90,08","46,16","12,82","24,51","219,19","35,69","7,52","56,64","20,35","11,07","8,62","14,09","58,70",24934,41999,"27,8","58,9","30,0","11,2","10,4","8,8","2,96","3,68","3,25","3,29","7,19","4276,00","3296,00","0,20","37,00","36,00","3223,00","944,00","1031,00","666,00","314,00","109,00","78,00","81,00","4248,00","3276,00","22,90%","36,00","42,00","3198,00","926,00","825,00","721,00","336,00","252,00","67,00","71,00","4256,00","3411,00","19,90%","31,00","3380,00","26,00","3354,00","999,00","1100,00","860,00","356,00","39,00"
15.1. Orriols,17092,"98,05","42,33","16,90","17,73","118,96","32,64","30,15","39,78","14,63","39,25","36,23","25,91","35,50",14796,26470,"30,0","59,7","34,4","5,9","37,6","33,3","3,15","2,76","1,86","2,59","12,45","10074,00","6060,00","0,40","51,00","48,00","5961,00","1687,00","1277,00","1653,00","890,00","200,00","94,00","160,00","9200,00","5616,00","39,00%","44,00","43,00","5529,00","1549,00","1732,00","908,00","838,00","262,00","87,00","153,00","10005,00","6546,00","34,60%","66,00","6480,00","47,00","6433,00","1759,00","2448,00","1121,00","975,00","130,00"
15.2. Torrefiel,26255,"93,26","44,10","15,67","20,29","147,41","34,05","19,66","47,72","17,11","28,46","25,62","23,98","37,68",16920,29779,"29,0","60,4","32,5","7,1","27,3","23,6","3,03","3,00","2,15","2,73","11,36","17995,00","11707,00","0,30","123,00","109,00","11475,00","3452,00","2685,00","2860,00","1608,00","299,00","273,00","298,00","17318,00","11324,00","34,60%","111,00","106,00","11107,00","3246,00","3369,00","1900,00","1551,00","510,00","208,00","323,00","17866,00","12548,00","29,80%","106,00","12442,00","101,00","12341,00","3669,00","4464,00","2170,00","1826,00","212,00"
15.3. Sant Llorenc,11258,"93,24","40,34","22,35","13,13","69,03","32,15","7,06","59,63","17,74","10,81","8,26","7,31","74,67",29097,51450,"27,4","70,4","15,7","13,9","8,2","7,0","2,88","3,91","3,80","3,53","5,42","8210,00","6539,00","0,20","38,00","69,00","6432,00","2507,00","1614,00","1088,00","737,00","128,00","249,00","109,00","8157,00","6498,00","20,30%","41,00","74,00","6383,00","2428,00","1482,00","1070,00","794,00","291,00","220,00","98,00","8181,00","6838,00","16,40%","50,00","6788,00","68,00","6720,00","2681,00","1874,00","1179,00","906,00","80,00"
16.1. Benicalap,42725,"93,66","43,04","17,30","18,29","120,19","33,51","16,46","51,01","17,79","22,71","19,74","21,01","45,65",19655,33794,"28,6","65,3","25,7","9,0","22,1","19,2","2,61","3,27","2,55","2,81","8,83","29885,00","20521,00","0,30","206,00","208,00","20107,00","6553,00","4880,00","4689,00","2676,00","448,00","408,00","453,00","29712,00","20436,00","31,20%","208,00","200,00","20028,00","6430,00","5921,00","3371,00","2718,00","767,00","386,00","435,00","29755,00","21780,00","26,80%","165,00","21615,00","178,00","21437,00","7010,00","7454,00","3635,00","3025,00","313,00"
16.2. Ciutat Fallera,5981,"94,76","43,44","15,95","19,55","142,91","33,22","21,37","44,02","19,21","29,36","26,94","29,86","32,34",14783,26649,"27,8","60,4","34,7","4,9","32,4","28,4","2,46","3,28","1,85","2,53","11,41","4009,00","2475,00","0,40","25,00","27,00","2423,00","629,00","598,00","679,00","338,00","64,00","40,00","75,00","3989,00","2467,00","38,20%","25,00","29,00","2413,00","616,00","782,00","455,00","341,00","110,00","30,00","79,00","4002,00","2628,00","34,30%","30,00","2598,00","6,00","2592,00","634,00","1045,00","456,00","403,00","54,00"
17.1. Benifaraig ,986,"92,20","45,92","14,91","23,12","179,53","36,00","3,85","74,54","5,78","5,58","4,36","19,07","43,70",19996,32911,"28,8","62,5","28,7","8,7","19,2","16,1","1,22","3,71","3,11","2,68","6,52","810,00","636,00","0,20","5,00","14,00","617,00","253,00","161,00","101,00","67,00","13,00","8,00","14,00","807,00","634,00","21,40%","7,00","16,00","611,00","246,00","113,00","136,00","70,00","24,00","9,00","13,00","815,00","654,00","19,80%","4,00","650,00","8,00","642,00","257,00","166,00","117,00","88,00","14,00"
17.2. Poble Nou,942,"96,66","45,07","14,23","23,57","188,14","36,09","14,54","56,16","10,51","25,27","22,82","28,47","39,89",18582,32181,"31,5","53,5","31,9","14,6","25,0","21,5","1,65","3,86","2,44","2,65","10,24","704,00","433,00","0,40","5,00","3,00","425,00","182,00","78,00","82,00","48,00","13,00","9,00","13,00","699,00","429,00","38,60%","6,00","3,00","420,00","181,00","97,00","60,00","48,00","17,00","9,00","8,00","699,00","462,00","33,90%","7,00","455,00","3,00","452,00","185,00","112,00","81,00","70,00","4,00"
17.3. Carpesa,1196,"90,45","48,70","12,54","27,68","243,38","39,05","8,36","66,64","10,62","11,20","10,12","27,53","38,74",21440,36029,"28,5","55,0","33,7","11,3","16,4","12,8","1,60","3,29","2,64","2,51","9,36","968,00","741,00","0,20","6,00","8,00","727,00","271,00","216,00","120,00","83,00","15,00","9,00","13,00","962,00","737,00","23,40%","9,00","9,00","719,00","260,00","151,00","164,00","81,00","36,00","13,00","14,00","959,00","772,00","19,50%","7,00","765,00","4,00","761,00","277,00","222,00","158,00","95,00","9,00"
17.4. Cases de Barcena + 17.5. Mauella,419,"105,39","48,57","10,74","22,20","258,33","30,79","17,18","47,97","15,27","21,72","19,57","26,47","37,32",19996,32911,"28,8","62,5","28,7","8,7","19,2","16,1","1,22","3,71","3,11","2,68","4,40","313,00","205,00","0,30","2,00","3,00","200,00","67,00","58,00","43,00","23,00","1,00","4,00","4,00","311,00","206,00","33,80%","2,00","3,00","201,00","70,00","56,00","33,00","23,00","9,00","4,00","6,00","313,00","228,00","27,20%","2,00","226,00","3,00","223,00","77,00","66,00","43,00","33,00","4,00"
17.6. Massarrojos,2589,"94,66","41,92","22,05","16,30","88,84","34,65","6,68","59,87","12,40","9,62","6,72","10,65","71,81",31538,57626,"31,4","68,5","12,9","18,6","9,3","7,8","1,38","4,00","3,86","3,08","4,20","1928,00","1509,00","0,20","14,00","18,00","1477,00","721,00","332,00","169,00","157,00","19,00","54,00","25,00","1906,00","1495,00","21,60%","13,00","20,00","1462,00","703,00","237,00","221,00","182,00","51,00","48,00","20,00","1910,00","1565,00","18,10%","10,00","1555,00","12,00","1543,00","756,00","309,00","235,00","228,00","15,00"
17.7. Borboto,743,"99,20","45,06","17,63","23,01","147,41","38,63","5,79","75,10","5,11","10,09","7,67","27,94","38,19",20173,35262,"30,9","53,5","28,8","17,7","18,3","14,8","1,62","3,43","2,64","2,56","8,68","586,00","454,00","0,20","3,00","4,00","447,00","181,00","69,00","96,00","77,00","9,00","5,00","10,00","584,00","452,00","22,60%","5,00","4,00","443,00","177,00","96,00","69,00","76,00","12,00","5,00","8,00","587,00","460,00","21,60%","3,00","457,00","2,00","455,00","213,00","107,00","49,00","80,00","6,00"
