Barrio,Pob,Masc,E_media,Porc_men18,Porc_may18,Envej,Ind_dep,Porc_nacionalidad_extra,Porc_nacidos_ciudad,Porc_fueraCV,Porc_nacida_extranj,Porc_nacida_fuera_UE,Porc_18añosprimaria_menos,Porc_25anos_bach_mas,Rentamedia_ud_consumo,Rentamedia_hogar,Gini_renta,Porc_ingresos_salarios,Porc_ingresos_pensiones_prestaciones,Porc_otros_ingresos,Porc_ingresos_ud_consumo_debajo_60,Porc_ingresos_ud_consumo_debajo_10k,Ind_equipamiento,ind_demografico,Ind_socioecon,Ind_vulnerabilidad,Porc_parados,Muni_electorado,Muni_votos_leidos,Muni_porc_abstención,Muni_nulos,Muni_blanco,Muni_votos_candidaturas,Muni_PP,Muni_Compromis,Muni_PSOE,Muni_VOX,Muni_Podemos,Muni_Cs,Muni_Otros,Auto_electorado,Auto_votos_leidos,Auto_porc_abstención,Auto_nulo,Auto_blanco,Auto_votos_candiaturas,Auto_PP,Auro_PSOE,Auro_Compromís,Auto_VOX,Auto_Podemos,Auto_Cs,Auto_Otros,Gene_electorado,Gene_votos_leidos,Gene_porc_abs,Gene_nulos,Gene_validos,Gene_blanco,Gene_votos_candidaturas,Gene_PP,Gene_PSOE,Gene_Compromis,Gene_VOX,Gene_Otros
3.2. la Roqueta,4726,"90,33","44,96","13,10","20,55","181,50","31,87","26,75","43,06","11,26","32,59","27,63","9,06","71,00",25322,38848,"37,1","54,2","24,0","21,8","21,2","18,9","2,96","3,12","3,91","3,33","6,65","3089,00","2292,00","0,30","13,00","20,00","2259,00","994,00","536,00","305,00","289,00","37,00","52,00","46,00","2520,00","1879,00","25,40%","7,00","14,00","1858,00","826,00","333,00","285,00","266,00","86,00","41,00","21,00","3087,00","2393,00","22,50%","20,00","2373,00","11,00","2362,00","996,00","561,00","440,00","337,00","28,00"
3.3. la Petxina,15095,"83,64","45,64","15,97","23,08","165,12","37,06","11,86","58,80","12,39","17,31","14,18","6,98","73,70",26339,42972,"31,1","57,0","27,1","15,9","14,0","12,2","3,55","2,66","3,78","3,33","7,60","11312,00","8821,00","0,20","42,00","82,00","8697,00","3659,00","2169,00","1226,00","1050,00","211,00","234,00","148,00","11203,00","8764,00","21,80%","44,00","72,00","8648,00","3552,00","1726,00","1406,00","1127,00","479,00","199,00","159,00","11176,00","9070,00","18,80%","48,00","9022,00","81,00","8941,00","3727,00","2172,00","1750,00","1208,00","84,00"
3.4. Arrancapins,22875,"83,10","46,37","14,74","24,91","193,88","37,76","12,63","56,63","12,66","17,58","14,55","6,60","74,75",28049,45335,"32,0","52,5","27,4","20,0","13,7","11,9","3,36","2,69","3,90","3,32","7,32","17204,00","13575,00","0,20","75,00","101,00","13399,00","6306,00","2953,00","1718,00","1594,00","209,00","369,00","250,00","17058,00","13476,00","21,00%","90,00","89,00","13297,00","6112,00","2485,00","1860,00","1768,00","524,00","316,00","232,00","17079,00","13996,00","18,10%","100,00","13896,00","120,00","13776,00","6430,00","3066,00","2179,00","1975,00","126,00"
4.1. Campanar,11595,"84,96","47,91","14,63","29,44","229,99","42,23","11,53","53,20","17,49","16,71","14,03","11,13","62,42",24664,41415,"28,8","50,5","37,3","12,2","13,8","11,9","2,88","3,05","3,49","3,14","8,65","8890,00","6934,00","0,20","39,00","55,00","6840,00","2567,00","1760,00","1266,00","806,00","141,00","181,00","119,00","8842,00","6905,00","21,90%","41,00","58,00","6806,00","2493,00","1678,00","1218,00","852,00","288,00","156,00","121,00","8820,00","7096,00","19,50%","60,00","7036,00","50,00","6986,00","2656,00","2049,00","1277,00","932,00","72,00"
4.2. les Tendetes,5362,"87,29","47,30","12,85","26,56","237,33","37,75","22,21","43,51","15,85","31,01","25,96","14,72","56,63",20725,33983,"32,7","50,2","38,0","11,8","23,4","20,4","3,19","2,83","2,85","2,96","9,71","3745,00","2665,00","0,30","20,00","23,00","2622,00","855,00","704,00","554,00","331,00","79,00","49,00","50,00","3696,00","2647,00","28,40%","21,00","17,00","2609,00","839,00","713,00","474,00","343,00","152,00","35,00","53,00","3689,00","2760,00","25,20%","29,00","2731,00","21,00","2710,00","894,00","903,00","529,00","355,00","29,00"
4.3. el Calvari,4984,"86,25","45,95","13,22","22,21","189,55","33,93","29,51","35,96","16,55","39,13","35,19","23,63","39,65",15702,26011,"31,6","55,4","38,3","6,3","33,5","28,9","2,62","2,58","2,16","2,45","12,15","3144,00","1906,00","0,40","23,00","12,00","1871,00","555,00","452,00","519,00","228,00","47,00","23,00","47,00","3107,00","1887,00","39,30%","18,00","13,00","1856,00","540,00","621,00","306,00","231,00","84,00","27,00","47,00","3100,00","2083,00","32,80%","17,00","2066,00","24,00","2042,00","574,00","818,00","364,00","237,00","49,00"
4.4. Sant Pau,17905,"94,37","40,51","23,49","15,76","75,94","36,50","13,54","52,00","18,17","19,30","16,06","7,36","75,40",29539,52340,"29,3","66,5","17,8","15,8","10,3","9,3","2,34","3,54","3,91","3,26","5,09","12108,00","9327,00","0,20","61,00","110,00","9156,00","3997,00","1889,00","1404,00","1258,00","130,00","334,00","144,00","10799,00","8298,00","23,20%","60,00","89,00","8149,00","3454,00","1794,00","1053,00","1236,00","249,00","247,00","116,00","12040,00","9761,00","18,90%","59,00","9702,00","99,00","9603,00","4303,00","2327,00","1378,00","1496,00","99,00"
5.1. Marxalenes,10930,"83,45","46,77","13,94","25,71","212,08","37,83","19,36","46,05","16,33","27,10","23,52","18,47","47,99",18918,31549,"30,4","54,3","36,8","9,0","24,0","20,8","3,14","2,70","2,48","2,77","9,97","7730,00","5419,00","0,30","30,00","47,00","5342,00","1767,00","1355,00","1188,00","679,00","140,00","85,00","128,00","7663,00","5381,00","29,80%","32,00","36,00","5313,00","1710,00","1486,00","965,00","695,00","272,00","74,00","111,00","7667,00","5667,00","26,10%","37,00","5630,00","43,00","5587,00","1825,00","1857,00","1092,00","753,00","60,00"
5.2. Morvedre,10124,"85,46","46,71","13,62","24,04","202,33","35,92","16,90","50,34","14,46","23,43","19,40","13,60","58,22",21591,34884,"30,3","59,0","29,6","11,5","19,4","16,6","3,44","2,82","3,05","3,11","9,32","7388,00","5442,00","0,30","27,00","49,00","5366,00","1893,00","1567,00","931,00","597,00","148,00","118,00","112,00","6646,00","4946,00","25,60%","17,00","45,00","4884,00","1595,00","1190,00","984,00","598,00","319,00","102,00","96,00","7312,00","5635,00","22,90%","28,00","5607,00","39,00","5568,00","1959,00","1646,00","1227,00","669,00","67,00"
5.3. Trinitat,7970,"83,60","46,27","14,17","24,78","197,50","37,33","18,22","45,83","16,07","24,81","20,05","11,42","63,64",23057,36715,"31,9","55,5","31,2","13,3","19,4","16,4","3,70","2,53","3,23","3,15","8,85","5661,00","4200,00","0,30","30,00","36,00","4134,00","1433,00","1245,00","682,00","451,00","138,00","91,00","94,00","5602,00","4156,00","25,80%","24,00","36,00","4096,00","1409,00","971,00","788,00","474,00","283,00","81,00","90,00","5604,00","4359,00","22,20%","22,00","4337,00","27,00","4310,00","1507,00","1273,00","975,00","494,00","61,00"
